year,fwf,xpt,format,formas,sasout
2000,http://www.cdc.gov/brfss/annual_data/2000/files/cdbrfss2000asc.zip,http://www.cdc.gov/brfss/annual_data/2000/files/CDBRFS00XPT.ZIP,https://www.cdc.gov/brfss/annual_data/2000/files/format00.sas,https://www.cdc.gov/brfss/annual_data/2000/files/formas00.sas,https://www.cdc.gov/brfss/annual_data/2000/files/sasout00.sas
2001,http://www.cdc.gov/brfss/annual_data/2001/files/cdbrfss2001asc.zip,http://www.cdc.gov/brfss/annual_data/2001/files/CDBRFS01XPT.zip,https://www.cdc.gov/brfss/annual_data/2001/files/format01.sas,https://www.cdc.gov/brfss/annual_data/2001/files/formas01.sas,https://www.cdc.gov/brfss/annual_data/2001/files/sasout01.sas
2002,http://www.cdc.gov/brfss/annual_data/2002/files/cdbrfs2002asc.ZIP,http://www.cdc.gov/brfss/annual_data/2002/files/CDBRFS02XPT.ZIP,https://www.cdc.gov/brfss/annual_data/2002/files/format02.sas,https://www.cdc.gov/brfss/annual_data/2002/files/formas02.sas,https://www.cdc.gov/brfss/annual_data/2002/files/sasout02.sas
2003,http://www.cdc.gov/brfss/annual_data/2003/files/CDBRFS03ASC.ZIP,http://www.cdc.gov/brfss/annual_data/2003/files/CDBRFS03XPT.ZIP,https://www.cdc.gov/brfss/annual_data/2003/files/format03.sas,https://www.cdc.gov/brfss/annual_data/2003/files/formas03.sas,https://www.cdc.gov/brfss/annual_data/2003/files/sasout03.sas
2004,http://www.cdc.gov/brfss/annual_data/2004/files/CDBRFS04ASC.zip,http://www.cdc.gov/brfss/annual_data/2004/files/CDBRFS04XPT.zip,https://www.cdc.gov/brfss/annual_data/2004/files/format04.sas,https://www.cdc.gov/brfss/annual_data/2004/files/formas04.sas,https://www.cdc.gov/brfss/annual_data/2004/files/sasout04.sas
2005,http://www.cdc.gov/brfss/annual_data/2005/files/CDBRFS05ASC.ZIP,http://www.cdc.gov/brfss/annual_data/2005/files/CDBRFS05XPT.zip,https://www.cdc.gov/brfss/annual_data/2005/files/format05.sas,https://www.cdc.gov/brfss/annual_data/2005/files/formas05.sas,https://www.cdc.gov/brfss/annual_data/2005/files/sasout05.sas
2006,http://www.cdc.gov/brfss/annual_data/2006/files/CDBRFS06ASC.ZIP,http://www.cdc.gov/brfss/annual_data/2006/files/CDBRFS06XPT.ZIP,https://www.cdc.gov/brfss/annual_data/2006/files/format06.sas,https://www.cdc.gov/brfss/annual_data/2006/files/formas06.sas,https://www.cdc.gov/brfss/annual_data/2006/files/sasout06.sas
2007,http://www.cdc.gov/brfss/annual_data/2007/files/CDBRFS07ASC.ZIP,http://www.cdc.gov/brfss/annual_data/2007/files/CDBRFS07XPT.ZIP,https://www.cdc.gov/brfss/annual_data/2007/files/format07.sas,https://www.cdc.gov/brfss/annual_data/2007/files/formas07.sas,https://www.cdc.gov/brfss/annual_data/2007/files/sasout07.sas
2008,http://www.cdc.gov/brfss/annual_data/2008/files/CDBRFS08ASC.ZIP,http://www.cdc.gov/brfss/annual_data/2008/files/CDBRFS08XPT.ZIP,https://www.cdc.gov/brfss/annual_data/2008/files/format08.sas,https://www.cdc.gov/brfss/annual_data/2008/files/formas08.sas,https://www.cdc.gov/brfss/annual_data/2008/files/sasout08.sas
2009,http://www.cdc.gov/brfss/annual_data/2009/files/CDBRFS09ASC.ZIP,http://www.cdc.gov/brfss/annual_data/2009/files/CDBRFS09XPT.ZIP,https://www.cdc.gov/brfss/annual_data/2009/files/format09.sas,https://www.cdc.gov/brfss/annual_data/2009/files/formas09.sas,https://www.cdc.gov/brfss/annual_data/2009/files/sasout09.sas
2010,http://www.cdc.gov/brfss/annual_data/2010/files/CDBRFS10ASC.zip,http://www.cdc.gov/brfss/annual_data/2010/files/CDBRFS10XPT.zip,https://www.cdc.gov/brfss/annual_data/2010/files/format10.sas,https://www.cdc.gov/brfss/annual_data/2010/files/formas10.sas,https://www.cdc.gov/brfss/annual_data/2010/files/sasout10.sas
2011,http://www.cdc.gov/brfss/annual_data/2011/files/LLCP2011ASC.ZIP,http://www.cdc.gov/brfss/annual_data/2011/files/LLCP2011XPT.ZIP,https://www.cdc.gov/brfss/annual_data/2011/files/format11.sas,https://www.cdc.gov/brfss/annual_data/2011/files/formas11.sas,https://www.cdc.gov/brfss/annual_data/2011/files/sasout11_llcp.sas
